Date,Price,Open,High,Low,Change %,Score 1,Score 2,Score 3,Score 4,Score 5,Average Score
2016-02-05,"1,880.05","1,913.07","1,913.07","1,872.65",-1.85%,0.8922560634565515,0.5032796054304164,0.1571159810850663,0.5811257436314639,0.5032796054304164,0.5274113998067829
2016-02-04,"1,915.45","1,911.67","1,927.35","1,900.52",0.15%,0.1918950526262265,0.1623531804545685,0.3414857375298723,0.4770427619870849,0.2275385162963339,0.28006304977881724
2016-02-03,"1,912.53","1,907.07","1,918.01","1,872.23",0.50%,0.7940712869273401,0.7272080134235013,0.5032796054304164,0.0339146794122132,0.2521482686734123,0.46212437077337676
2016-02-02,"1,903.03","1,935.26","1,935.26","1,897.29",-1.87%,0.5032796054304164,0.2354705852443178,0.5032796054304164,0.0875578380027456,0.2699954238063761,0.3199166115828545
2016-02-01,"1,939.38","1,936.94","1,947.20","1,920.30",-0.04%,0.7175980068134438,0.3091473025880917,0.5554990593379773,0.5032796054304164,0.4510601515228555,0.507316825138557
2016-01-29,"1,940.24","1,894.00","1,940.24","1,894.00",2.48%,0.3527736818020033,0.2521482686734123,0.2699954238063761,0.7956475313977729,0.8146641582346061,0.49704581278283405
2016-01-28,"1,893.36","1,885.22","1,902.96","1,873.65",0.55%,0.3091473025880917,0.5811257436314639,0.5032796054304164,0.5425331774037728,0.3643667056490567,0.4600905069405602
2016-01-27,"1,882.95","1,902.52","1,916.99","1,872.70",-1.09%,0.0850663548075456,0.5032796054304164,0.5032796054304164,0.3095032287588345,0.6869375095337367,0.41761326079218986
2016-01-26,"1,903.63","1,878.79","1,906.73","1,878.79",1.41%,0.2793511974373315,0.5032796054304164,0.1012864188742563,0.1985051100828799,0.3414857375298723,0.28478161387095124
2016-01-25,"1,877.08","1,906.28","1,906.28","1,875.97",-1.56%,0.0173895357705801,0.7365637870544567,0.5032796054304164,0.5032796054304164,0.5032796054304164,0.4527584278232572
2016-01-22,"1,906.90","1,877.40","1,908.85","1,877.40",2.03%,0.3643667056490567,0.3564854832968932,0.3882137590888289,0.1012864188742563,0.219860680327452,0.2860426094472975
2016-01-21,"1,868.99","1,861.46","1,889.85","1,848.98",0.52%,0.722835206182946,0.5937356993949254,0.0850663548075456,0.1520313215030253,0.4510601515228555,0.4009457466822596
2016-01-20,"1,859.33","1,876.18","1,876.18","1,812.29",-1.17%,0.5032796054304164,0.5937356993949254,0.5032796054304164,0.3643667056490567,0.7544109421874206,0.5438145116184471
2016-01-19,"1,881.33","1,888.66","1,901.44","1,864.60",0.05%,0.219860680327452,0.5032796054304164,0.5295164488737478,0.3091473025880917,0.1295062795545837,0.3382620633548583
2016-01-15,"1,880.33","1,916.68","1,916.68","1,857.83",-2.16%,0.5032796054304164,0.219860680327452,0.5032796054304164,0.1794376366502262,0.1985051100828799,0.3208725275842782
2016-01-14,"1,921.84","1,891.68","1,934.47","1,878.93",1.67%,0.055473636040067,0.1179132557075303,0.5032796054304164,0.5032796054304164,0.2793511974373315,0.2918594600091523
2016-01-13,"1,890.28","1,940.34","1,950.33","1,886.41",-2.50%,0.5032796054304164,0.6303960949814409,0.9418314943814512,0.8728835104489754,0.5032796054304164,0.6903340621345401
2016-01-12,"1,938.68","1,927.83","1,947.38","1,914.35",0.78%,0.5032796054304164,0.0983373163166725,0.2699954238063761,0.6061422687751055,0.4770427619870849,0.3909594752631311
