Date,Scores,Normalized_Scores
2016-07-01,-0.5574,0.21986068032745204
2016-07-01,-0.0516,0.4770427619870849
2016-07-01,0.5719,0.7940712869273401
2016-07-01,-0.8658,0.06304977881730811
2016-07-01,-0.296,0.3527736818020033
2016-06-30,0.0,0.5032796054304164
2016-06-30,-0.4141,0.29272385213809926
2016-06-30,0.4019,0.7076320740326435
2016-06-30,-0.8934,0.04901611837087505
2016-06-30,-0.6124,0.19189505262622658
2016-06-29,0.0,0.5032796054304164
2016-06-29,-0.6808,0.1571159810850663
2016-06-29,0.7783,0.899018660700666
2016-06-29,-0.4854,0.2564702293181471
2016-06-29,-0.4404,0.2793511974373315
2016-06-28,0.8316,0.9261198962729444
2016-06-28,-0.4588,0.2699954238063761
2016-06-28,0.4939,0.7544109421874206
2016-06-28,0.3182,0.6650734733309605
2016-06-28,-0.7717,0.11089642548431378
2016-06-27,-0.2263,0.38821375908882894
2016-06-27,0.2732,0.6421925052117761
2016-06-27,-0.6369,0.17943763665022622
2016-06-27,-0.1027,0.4510601515228555
2016-06-27,0.6369,0.8271215742106066
2016-06-26,0.0,0.5032796054304164
2016-06-26,0.2263,0.6183454517720038
2016-06-26,0.0,0.5032796054304164
2016-06-26,0.4019,0.7076320740326435
2016-06-26,-0.8176,0.08755783800274569
2016-06-25,-0.4767,0.2608938831545228
2016-06-25,-0.0258,0.49016118370875067
2016-06-25,0.0,0.5032796054304164
2016-06-25,-0.7096,0.14247216148878827
2016-06-25,0.0516,0.5295164488737478
2016-06-24,-0.34,0.330401179641023
2016-06-24,-0.0516,0.4770427619870849
2016-06-24,0.0,0.5032796054304164
2016-06-24,-0.0516,0.4770427619870849
2016-06-24,0.0,0.5032796054304164
2016-06-23,0.3818,0.697411908272741
2016-06-23,-0.4802,0.2591142523008084
2016-06-23,-0.5106,0.24365688717140382
2016-06-23,-0.34,0.330401179641023
2016-06-23,-0.0572,0.474195352621142
2016-06-22,-0.4215,0.288961204047389
2016-06-22,-0.9231,0.03391467941221327
2016-06-22,0.0,0.5032796054304164
2016-06-22,-0.5574,0.21986068032745204
2016-06-22,0.0,0.5032796054304164
2016-06-21,-0.34,0.330401179641023
2016-06-21,-0.34,0.330401179641023
2016-06-21,-0.9325,0.02913509940509479
2016-06-21,-0.128,0.4381959627802918
2016-06-21,-0.4019,0.2989271368281893
2016-06-20,0.0,0.5032796054304164
2016-06-20,0.2023,0.6061422687751055
2016-06-20,0.4939,0.7544109421874206
2016-06-20,-0.872,0.059897289876442716
2016-06-20,-0.7783,0.10754055016016673
2016-06-19,0.0,0.5032796054304164
2016-06-19,0.1779,0.5937356993949254
2016-06-19,-0.6124,0.19189505262622658
2016-06-19,-0.6908,0.15203132150302534
2016-06-19,-0.1779,0.41282351146590734
2016-06-18,-0.3818,0.3091473025880917
2016-06-18,0.0,0.5032796054304164
2016-06-18,-0.7351,0.12950627955458377
2016-06-18,0.0,0.5032796054304164
2016-06-18,0.7783,0.899018660700666
2016-06-17,-0.8126,0.09010016779376617
2016-06-17,-0.802,0.09548990695072956
2016-06-17,0.0,0.5032796054304164
2016-06-17,-0.7003,0.14720089490008637
2016-06-17,-0.4939,0.2521482686734123
2016-06-16,-0.8591,0.0664565007372756
2016-06-16,0.5267,0.7710886256165149
2016-06-16,-0.9413,0.024660598972898684
2016-06-16,-0.296,0.3527736818020033
2016-06-16,0.0,0.5032796054304164
2016-06-15,0.0,0.5032796054304164
2016-06-15,-0.4391,0.28001220318299685
2016-06-15,0.2263,0.6183454517720038
2016-06-15,-0.2023,0.4004169420857273
2016-06-15,0.0,0.5032796054304164
2016-06-14,0.0,0.5032796054304164
2016-06-14,0.5859,0.8011898103421975
2016-06-14,-0.6597,0.1678446128031728
2016-06-14,-0.7906,0.10128641887425632
2016-06-14,-0.6597,0.1678446128031728
2016-06-13,-0.8126,0.09010016779376617
2016-06-13,0.0,0.5032796054304164
2016-06-13,-0.128,0.4381959627802918
2016-06-13,-0.8519,0.07011745563634508
2016-06-13,0.4019,0.7076320740326435
2016-06-12,-0.8074,0.09274419077642748
2016-06-12,0.0,0.5032796054304164
2016-06-12,-0.25,0.37616311587939183
2016-06-12,-0.296,0.3527736818020033
2016-06-12,-0.5423,0.22753851629633393
2016-06-11,0.0,0.5032796054304164
2016-06-11,0.7351,0.877052931306249
2016-06-11,0.0,0.5032796054304164
2016-06-11,-0.5423,0.22753851629633393
2016-06-11,-0.7003,0.14720089490008637
2016-06-10,0.296,0.6537855290588295
2016-06-10,0.0,0.5032796054304164
2016-06-10,-0.7783,0.10754055016016673
2016-06-10,-0.7845,0.10438806121930133
2016-06-10,0.2263,0.6183454517720038
2016-06-09,-0.7506,0.12162505720242023
2016-06-09,0.0,0.5032796054304164
2016-06-09,-0.1779,0.41282351146590734
2016-06-09,0.0,0.5032796054304164
2016-06-09,0.0,0.5032796054304164
2016-06-08,-0.1531,0.4254334672293689
2016-06-08,0.0258,0.5163980271520822
2016-06-08,-0.8519,0.07011745563634508
2016-06-08,0.25,0.6303960949814409
2016-06-08,0.872,0.9466619209843901
2016-06-07,-0.6908,0.15203132150302534
2016-06-07,-0.34,0.330401179641023
2016-06-07,0.4588,0.7365637870544567
2016-06-07,-0.4588,0.2699954238063761
2016-06-07,-0.7351,0.12950627955458377
2016-06-06,0.0,0.5032796054304164
2016-06-06,-0.6124,0.19189505262622658
2016-06-06,-0.9081,0.041541668785274766
2016-06-06,-0.8834,0.05410077795291601
2016-06-06,-0.4939,0.2521482686734123
2016-06-05,-0.5423,0.22753851629633393
